id,text
1,I loves the product! It has change my life.
2,"The service were poor, and the product quality are disappointing."
3,"Customer support is great, but the delivery are very slow."
4,The new update is fantastic and user-friend.
5,I am disappoint with the pricing and product performance.
6,"Amazing experience, highly recommend!"
7,The interface is confuse and not intuitive at all.
8,"Support team was helpful, though the product feel overpriced."
9,I found bug in the latest version; it need improvement.
10,"The app crash frequently, which is very frustrating."
11,Fantastic value for the price. The product works as expected.
12,Disappointed by the slow response time from customer service.
13,"The new version is much better, love the new features."
14,Terrible quality. Would not buy again.
15,"I am absolutely in love with the app, it has changed my routine."
16,"Poor user interface, difficult to navigate."
17,The product is decent but could use some more improvements.
18,Great customer support! They helped me resolve my issue quickly.
19,"Pricey, but it's worth the investment."
20,There was a major bug that caused the app to crash constantly.
21,"I would definitely recommend this to others, great overall experience."
22,The app is very slow and takes too long to load.
23,"Good product, but the packaging was damaged during shipping."
24,Excellent quality and great customer service!
25,"The app does not meet my expectations, very buggy."
26,I love the new interface! It's much more user-friendly.
27,The support team was not helpful and took too long to respond.
28,The product was easy to set up and works as promised.
29,"Not satisfied with the purchase, would not recommend."
30,"Great app, but there’s room for more features."
